Review_Id,outlet_product_id_,customer_id_, Review,negative,neutral,positive,sentiment,rev
1,175,1,Wow... Loved this place.,0.0,28.000000000000004,72.0,pos,Wow  Loved place 
2,644,1,Crust is not good.,0.0,40.8,59.2,pos,Crust good 
3,644,1,Not tasty and the texture was just nasty.,54.50000000000001,45.5,0.0,neg,tasty texture nasty 
4,299,1,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,12.3,45.2,42.6,neu,Stopped late May bank holiday Rick Steve recommendation loved 
5,14,1,The selection on the menu was great and so were the prices.,0.0,49.4,50.6,pos,selection menu great prices 
6,304,1,Now I am getting angry and I want my damn photo.,58.3,29.1,12.6,neg,getting angry want damn photo 
7,304,1,Honeslty it didn't taste THAT fresh.),28.2,71.8,0.0,neu,Honeslty nt taste fresh  
8,230,1,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,0.0,65.7,34.300000000000004,neu,potatoes like rubber could tell made ahead time kept warmer 
9,17,1,The fries were great too.,0.0,32.800000000000004,67.2,pos,fries great 
10,17,1,A great touch.,0.0,32.800000000000004,67.2,pos,great touch 
11,189,1,Service was very prompt.,0.0,100.0,0.0,neu,Service prompt 
12,198,1,Would not go back.,0.0,100.0,0.0,neu,Would go back 
13,229,1,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0.0,71.39999999999999,28.6,neu,cashier care ever say still ended wayyy overpriced 
14,304,1,"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",0.0,100.0,0.0,neu,tried Cape Cod ravoli  chicken  cranberry  mmmm 
15,392,1,I was disgusted because I was pretty sure that was human hair.,28.6,25.2,46.2,pos,disgusted pretty sure human hair 
16,188,1,I was shocked because no signs indicate cash only.,36.5,63.5,0.0,neu,shocked signs indicate cash 
17,194,1,Highly recommended.,0.0,48.9,51.1,pos,Highly recommended 
18,309,1,Waitress was a little slow in service.,0.0,100.0,0.0,neu,Waitress little slow service 
19,310,1,"This place is not worth your time, let alone Vegas.",20.200000000000003,60.6,19.2,neu,place worth time  let alone Vegas 
20,227,2,did not like at all.,0.0,28.6,71.39999999999999,pos,like 
21,180,2,The Burrittos Blah!,45.8,54.2,0.0,neu,Burrittos Blah 
22,390,2,"The food, amazing.",0.0,44.1,55.900000000000006,pos,food  amazing 
23,3,2,Service is also cute.,0.0,50.0,50.0,neu,Service also cute 
24,233,2,I could care less... The interior is just beautiful.,0.0,42.2,57.8,pos,could care less  interior beautiful 
25,223,2,So they performed.,0.0,100.0,0.0,neu,performed 
26,10,2,That's right....the red velvet cake.....ohhh this stuff is so good.,0.0,77.5,22.5,neu,s right  red velvet cake  ohhh stuff good 
27,189,2, They never brought a salad we asked for.,0.0,100.0,0.0,neu,never brought salad asked 
28,302,2,"This hole in the wall has great Mexican street tacos, and friendly staff.",0.0,52.3,47.7,neu,hole wall great Mexican street tacos  friendly staff 
29,304,2,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0.0,71.8,28.2,neu,Took hour get food 4 tables restaurant food Luke warm  sever running around like totally overwhelmed 
30,391,2,The worst was the salmon sashimi.,57.7,42.3,0.0,neg,worst salmon sashimi 
31,393,2,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",0.0,81.5,18.5,neu,Also combos like burger  fries  beer 23 decent deal 
32,7,2,This was like the final blow!,0.0,51.8,48.2,neu,like final blow 
33,311,2,I found this place by accident and I could not be happier.,29.5,38.1,32.4,neu,found place accident could happier 
34,642,2,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0.0,59.7,40.3,neu,seems like good quick place grab bite familiar pub food  favor look elsewhere 
35,391,2,"Overall, I like this place a lot.",0.0,66.7,33.300000000000004,neu,Overall  like place lot 
36,23,2,The only redeeming quality of the restaurant was that it was very inexpensive.,0.0,100.0,0.0,neu,redeeming quality restaurant inexpensive 
37,21,2,Ample portions and good prices.,0.0,57.99999999999999,42.0,neu,Ample portions good prices 
38,180,2,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",34.2,52.6,13.2,neu,Poor service  waiter made feel like stupid every time came table 
39,17,2,My first visit to Hiro was a delight!,0.0,48.8,51.2,pos,first visit Hiro delight 
40,226,2,Service sucks.,55.60000000000001,44.4,0.0,neg,Service sucks 
41,584,3,The shrimp tender and moist.,0.0,100.0,0.0,neu,shrimp tender moist 
42,124,3,There is not a deal good enough that would drag me into that establishment again.,19.4,51.0,29.6,neu,deal good enough would drag establishment 
43,63,3,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,33.5,41.2,25.3,neu,Hard judge whether sides good grossed melted styrofoam nt want eat fear getting sick 
44,890,3,"On a positive note, our server was very attentive and provided great service.",0.0,47.6,52.400000000000006,pos,positive note  server attentive provided great service 
45,468,3,"Frozen pucks of disgust, with some of the worst people behind the register.",53.3,46.7,0.0,neg,Frozen pucks disgust  worst people behind register 
46,47,3,The only thing I did like was the prime rib and dessert section.,0.0,70.6,29.4,neu,thing like prime rib dessert section 
47,63,3,It's too bad the food is so damn generic.,60.8,39.2,0.0,neg,s bad food damn generic 
48,52,3,"The burger is good beef, cooked just right.",0.0,67.4,32.6,neu,burger good beef  cooked right 
49,52,3,If you want a sandwich just go to any Firehouse!!!!!,0.0,76.4,23.6,neu,want sandwich go Firehouse     
50,823,3,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",25.4,74.6,0.0,neu,side Greek salad Greek dressing tasty  pita hummus refreshing 
51,490,3,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,0.0,76.3,23.7,neu,ordered duck rare pink tender inside nice char outside 
52,54,3,He came running after us when he realized my husband had left his sunglasses on the table.,0.0,100.0,0.0,neu,came running us realized husband left sunglasses table 
53,896,3,Their chow mein is so good!,0.0,48.4,51.6,pos,chow mein good 
54,39,3,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",38.0,62.0,0.0,neu,horrible attitudes towards customers  talk one customers nt enjoy food 
55,334,3,The portion was huge!,0.0,43.6,56.39999999999999,pos,portion huge 
56,651,4,"Loved it...friendly servers, great food, wonderful and imaginative menu.",0.0,34.9,65.10000000000001,pos,Loved  friendly servers  great food  wonderful imaginative menu 
57,833,4,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,19.5,44.1,36.4,neu,Heart Attack Grill downtown Vegas absolutely flatlined excuse restaurant 
58,1129,4,Not much seafood and like 5 strings of pasta at the bottom.,0.0,73.7,26.3,neu,much seafood like 5 strings pasta bottom 
59,1192,4,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",0.0,68.2,31.8,neu,salad right amount sauce power scallop  perfectly cooked 
60,720,4,"The ripped banana was not only ripped, but petrified and tasteless.",36.8,63.2,0.0,neu,ripped banana ripped  petrified tasteless 
61,1213,4,At least think to refill my water before I struggle to wave you over for 10 minutes.,22.3,77.7,0.0,neu,least think refill water struggle wave 10 minutes 
62,848,4,This place receives stars for their APPETIZERS!!!,0.0,100.0,0.0,neu,place receives stars APPETIZERS   
63,60,4,The cocktails are all handmade and delicious.,0.0,44.8,55.2,pos,cocktails handmade delicious 
64,68,4,We'd definitely go back here again.,0.0,59.7,40.3,neu,d definitely go back 
65,834,4,We are so glad we found this place.,0.0,50.0,50.0,neu,glad found place 
66,1191,4,"Great food and service, huge portions and they give a military discount.",0.0,55.60000000000001,44.4,neu,Great food service  huge portions give military discount 
67,828,4,Always a great time at Dos Gringos!,0.0,53.2,46.8,neu,Always great time Dos Gringos 
68,326,4,Update.....went back for a second time and it was still just as amazing,0.0,64.8,35.2,neu,Update  went back second time still amazing
69,612,4,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0.0,100.0,0.0,neu,got food apparently never heard salt batter fish chewy 
70,1214,4,A great way to finish a great.,0.0,26.8,73.2,pos,great way finish great 
71,62,4,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",0.0,100.0,0.0,neu,deal included 5 tastings 2 drinks  Jeff went beyond expected 
72,132,5,"Really, Really good rice, all the time.",0.0,66.9,33.1,neu,Really  Really good rice  time 
73,1128,5,The service was meh.,39.4,60.6,0.0,neu,service meh 
74,1200,5,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0.0,100.0,0.0,neu,took 30 min get milkshake  nothing chocolate milk 
